#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
1,Bitcoin,28049.1,0.0093,0.0157,0.051,541979769134,29810382415,"19,326,843 BTC"
2,Ethereum,1777.68,0.004,0.0116,0.0203,217489450675,12596925163,"122,373,866 ETH"
3,Tether,1,0.0002,0.0009,0.0016,78563728008,47083612512,"78,486,103,416 USDT"
4,BNB,323.48,0.001,0.0035,0.0257,51074737821,539664683,"157,890,097 BNB"
5,USD Coin,0.9998,0.0003,0.0008,0.0003,34397891024,6504262436,"34,406,305,359 USDC"
6,XRP,0.4292,0.0014,0.0395,0.146,21866752582,1666703457,"50,950,912,949 XRP"
7,Cardano,0.3627,0.0006,0.0217,0.0619,12594994662,370712879,"34,722,008,252 ADA"
8,Dogecoin,0.0751,0.0014,0.0279,0.0046,9962960900,493691294,"132,670,764,300 DOGE"
9,Polygon,1.11,0.0007,0.0078,0.0702,9719187030,458782756,"8,734,317,475 MATIC"
10,Solana,21.68,0.0026,0.0015,0.0641,8320251170,554731391,"383,778,599 SOL"
